popit_id,politician_name,director_name,similarity,project_sum,project_count,first_project,last_project
545e43bb5222837c2c058aef,Ayub Rahmat,AYUB BIN RAHMAT,0.8511904762,24833864,30,2001-09-26,2011-12-08
545e45b55222837c2c058fdb,Ayub Bin Rahmat,AYUB BIN RAHMAT,1,24833864,30,2001-09-26,2011-12-08
545e470b5222837c2c059334,Saipolbahari Bin Suib,SAIPOLBAHARI BIN SUIB,1,24820573,4,2007-01-02,2008-11-19
545e477b5222837c2c05944c,Zainal Bin Nasiruddin,ZAINAL BIN NASIRUDDIN,1,24041423,4,2007-04-30,2011-11-03
545e49025222837c2c059803,Tan Shu Tee,TAN SHU TEE,1,23181694,91,0000-00-00,2008-05-09
545e46c85222837c2c05928b,Wong Kok Yew,WONG KOK YEW,1,22793328,8,2002-07-16,2009-07-24
545e48995222837c2c0596ff,Lim Ah Chai,LIM AH CHAI,1,22427150,10,1996-10-07,2009-11-09
545e46605222837c2c059186,Terence Sinti,TERENCE SINTI,1,22027378,6,2009-07-23,2011-12-28
545e451f5222837c2c058e64,Abdul Ghani, ABDUL GHANI,1,20470985,7,2004-05-22,2009-06-24
545e43f05222837c2c058b73,Azahari Bin Abdullah,ZAHARI BIN ABDULLAH,0.865497076,20440875,4,1999-06-01,2002-02-03
545e42f15222837c2c0588f9,Fuziah Binti Salleh,FAUZIAH BINTI SALLEH,0.8297619048,19905189,6,2000-05-22,2002-10-14
545e43755222837c2c058a41,Baharuddin Bin Ahmad,BAHARUDIN BIN AHMAD,0.865497076,19778107,6,2001-04-04,2004-02-19
545e485b5222837c2c059667,Mohd Mahdi Bin Musa,MOHD MAHDI BIN MUSA,1,19474244,5,2005-07-11,2008-07-11
545e47505222837c2c0593e1,Rosli Bin Ibrahim,ROSLI BIN IBRAHIM,1,19396000,2,2011-06-07,2011-07-07
545e42ce5222837c2c0588a2,Edwin, EDWIN,1,18814276,5,2008-06-10,2011-02-09
545e44365222837c2c058c24,Hasan Bin Abd Rahman,HASSAN BIN ABD RAHMAN,0.8723684211,18449108,7,1997-10-02,2004-08-23
545e43bf5222837c2c058afa,Norhayati Binti Omar,NORHAYATI BINTI OMAR,1,18204612,2,2004-06-07,2006-04-26
545e43575222837c2c0589f8,Khairuddin Bin A Rahim,KHAIRUDDIN BIN A. RAHIM,0.8376623377,18198231,5,1997-12-03,2008-03-31
545e47de5222837c2c05953d,Ong Thean Lye,ONG THEAN LYE,1,17960000,3,2003-05-30,2005-03-31
545e43cc5222837c2c058b1a,Che Jalal Bin Muda,CHE JALAL BIN MUDA,1,16979549,3,2007-01-29,2010-01-06
545e42b05222837c2c058858,Imran Bin Abdul Rahman,AMRAN BIN ABDUL RAHMAN ,0.8571428571,16699199,3,2002-03-04,2009-07-07
545e44a65222837c2c058d35,Suhaimi Bin Mohd Ghazali,SUHAIMI BIN MOHD. GHAZALI,1,16177893,5,2001-05-14,2007-06-21
545e48bc5222837c2c059756,Mohammad Fadzil Bin Alias,MOHD FADZIL B ALIAS,1,16125903,4,2002-03-05,2009-07-07
545e490d5222837c2c05981e,Stephan Jacob Jimbangan,STEPHEN JACOB JIMBANGAN,0.8333333333,16030280,8,2007-10-24,2011-08-25
545e49245222837c2c059857,Goh Kim Swee,GOH KIM SWEE,1,15739010,7,1998-04-01,2003-06-12
545e48f55222837c2c0597e2,Azizan Bin Abdul Razak,AZIZAN BIN ABDUL RAZAK,1,15171000,1,0000-00-00,0000-00-00
545e446f5222837c2c058cae,Azizan Abdul Razak,AZIZAN BIN ABDUL RAZAK,0.8521303258,15171000,1,0000-00-00,0000-00-00
545e424e5222837c2c058764,Kamarudin Md Nor,KAMARUDIN BIN MD NOR,0.8359133127,14934147,1,2008-09-24,2008-09-24
545e46ea5222837c2c0592e1,Nik Ab Rahman Nik Taib,NIK AB RAHMAN BIN NIK TAIB,0.8765217391,13953309,5,0000-00-00,2002-04-15
545e46495222837c2c05914e,Abdullah Bin Hashim,ABDULLAH BIN HASHIM,1,13905680,7,1999-09-11,2011-04-21
545e45255222837c2c058e72,Mazlan Bin Ismail,MAZLAN BIN ISMAIL,1,13866036,11,2006-08-15,2010-04-02
545e453b5222837c2c058ea9,Selamat, SELAMAT,1,13571105,5,2007-06-21,2011-10-31
545e48a75222837c2c059720,Saravanan A/L Murugan,SARAVANAN A/L MURUGAN,1,13549191,3,2001-09-17,2003-01-27
545e48f15222837c2c0597d7,Abu Bakar Abdullah,ABU BAKAR BIN ABDULLAH,0.8521303258,13513829,18,1998-10-05,2011-06-27
545e433f5222837c2c0589bc,Abu Bakar Bin Abdullah,ABU BAKAR BIN ABDULLAH,1,13513829,18,1998-10-05,2011-06-27
545e44145222837c2c058bcd,Zubir Bin Ahmad,ZUBIR BIN AHMAD,1,12702345,3,2002-08-19,2011-09-05
545e423b5222837c2c058738,Ikmal Hisham Bin Abdul Aziz,IKMAL HISHAM BIN ABDUL AZIZ,1,12001115,5,1998-07-15,1999-10-13
545e454f5222837c2c058edc,Chan Chin Chee,CHAN CHIN CHEE,1,11972256,72,2000-03-11,2009-08-12
545e47fa5222837c2c059582,Ahmad Bujang,AHMAD BIN BUJANG,0.8615384615,11873906,9,0000-00-00,2006-03-28
545e44e95222837c2c058ddc,Ahmad Bin Bujang,AHMAD BIN BUJANG,1,11873906,9,0000-00-00,2006-03-28
545e446b5222837c2c058ca2,Teh Leong Meng,TEH LEONG MENG,1,11861236,2,2004-07-02,2005-12-12
545e47775222837c2c059443,Peter, PETER,1,11750000,3,2011-01-10,2011-02-18
545e43545222837c2c0589f1,Mansor Bin Salleh,MANSOR BIN SALLEH,1,11645228,4,2000-10-27,2008-07-15
545e47fa5222837c2c059581,Tan Ken Ten,TAN KEN TEN,1,11039045,4,0000-00-00,2011-10-20
545e42895222837c2c0587f9,Zainal Abidin Ahmad,ZAINAL ABIDIN BIN AHMAD,0.8590909091,10974817,13,0000-00-00,2010-08-01
545e479a5222837c2c059498,Wan Kadri Bin Wan Mahusain,WAN KADRI BIN WAN MAHUSAIN,1,10506797,3,2002-03-04,2009-06-29
545e44f75222837c2c058e02,Halim, HALIM,1,10256315,3,2007-02-21,2009-06-10
545e49365222837c2c059884,Tengku Zulpuri Shah Bin Raja Puji,TENGKU ZULPURI SHAH BIN RAJA PUJI,1,10238719,15,1997-08-05,2006-05-23
545e46dc5222837c2c0592bf,Ahmad Zahid Bin Hamidi,DATUK AHMAD ZAHID BIN HAMIDI,0.8654244306,10115515,3,0000-00-00,1998-01-24
545e45165222837c2c058e4d,Sharudin Bin Ahmad,SHARUDIN BIN AHMAD,1,10087682,3,2007-09-18,2009-07-09
55a5f9f5c49fbcbe51072684,Azmi Abdullah,AZMI ABDULLAH,1,9797414,11,1998-10-05,2011-06-27
545e487d5222837c2c0596bb,Mohd Salleh Bin Ahmad,MOHD SALLEH BIN AHMAD ALI,0.825,9770771,43,2002-01-22,2011-04-26
545e48355222837c2c05960b,Suhaimi Ghazali,SUHAIMI BIN GHAZALI,0.8263888889,9721145,9,2005-12-16,2010-12-08
545e47f95222837c2c05957f,Abdul Aziz Abas,ABDUL AZIZ BIN ABAS,0.8263888889,9641080,4,2008-09-11,2011-06-29
545e465a5222837c2c059179,Mustapa Bin Mohamed,MUSTAPA BIN MOHAMED,1,9619241,3,2002-07-03,2011-01-12
545e486b5222837c2c05968d,Shaharuddin Bin Ismail,SHAHARUDIN BIN ISMAIL,0.8785714286,9612564,12,2002-09-12,2010-12-17
545e44975222837c2c058d10,Mohammad Nasir Bin Abdullah,MOHD NASIR BIN ABDULLAH,1,9346021,1,2008-07-25,2008-07-25
545e465e5222837c2c059180,Marie, MARIE,1,9295000,2,2010-08-30,2010-10-27
545e451a5222837c2c058e57,Joseph, JOSEPH,1,9078800,1,2010-03-30,2010-03-30
